SOC_Code,Occupation,Probability,FO_Score,Original_SOC,Match_Method
41-3011,Advertising Sales Agents,0.54,54.0,41-3011,direct
41-3021,Insurance Sales Agents,0.92,92.0,41-3021,direct
41-3031,Securities; Commodities; and Financial Services Sales Agents,0.016,1.6,41-3031,direct
41-3041,Travel Agents,0.099,9.9,41-3041,direct
41-4011,Sales Representatives; Wholesale and Manufacturing; Technical and Scientific Products,0.25,25.0,41-4011,direct
41-4012,Sales Representatives; Wholesale and Manufacturing; Except Technical and Scientific Products,0.85,85.0,41-4012,direct
41-9011,Demonstrators and Product Promoters,0.51,51.0,41-9011,direct
41-9012,Models,0.98,98.0,41-9012,direct
41-9021,Real Estate Brokers,0.97,97.0,41-9021,direct
41-9022,Real Estate Sales Agents,0.86,86.0,41-9022,direct
41-9031,Sales Engineers,0.0041,0.41,41-9031,direct
41-9041,Telemarketers,0.99,99.0,41-9041,direct
41-9091,Door-to-Door Sales Workers; News and Street Vendors; and Related Workers,0.94,94.0,41-9091,direct
43-1011,First-Line Supervisors of Office and Administrative Support Workers,0.014,1.4,43-1011,direct
43-2011,Switchboard Operators; Including Answering Service,0.96,96.0,43-2011,direct
43-2021,Telephone Operators,0.97,97.0,43-2021,direct
43-3011,Bill and Account Collectors,0.95,95.0,43-3011,direct
43-3021,Billing and Posting Clerks,0.96,96.0,43-3021,direct
43-3031,Bookkeeping; Accounting; and Auditing Clerks,0.98,98.0,43-3031,direct
43-3041,Gaming Cage Workers,0.39,39.0,43-3041,direct
43-3051,Payroll and Timekeeping Clerks,0.97,97.0,43-3051,direct
43-3061,Procurement Clerks,0.98,98.0,43-3061,direct
43-3071,Tellers,0.98,98.0,43-3071,direct
43-4011,Brokerage Clerks,0.98,98.0,43-4011,direct
43-4021,Correspondence Clerks,0.86,86.0,43-4021,direct
43-4031,Court; Municipal; and License Clerks,0.46,46.0,43-4031,direct
43-4041,Credit Authorizers; Checkers; and Clerks,0.97,97.0,43-4041,direct
43-4051,Customer Service Representatives,0.55,55.0,43-4051,direct
43-4061,Eligibility Interviewers; Government Programs,0.7,70.0,43-4061,direct
43-4071,File Clerks,0.97,97.0,43-4071,direct
43-4081,Hotel; Motel; and Resort Desk Clerks,0.94,94.0,43-4081,direct
43-4111,Interviewers; Except Eligibility and Loan,0.94,94.0,43-4111,direct
43-4121,Library Assistants; Clerical,0.95,95.0,43-4121,direct
43-4131,Loan Interviewers and Clerks,0.92,92.0,43-4131,direct
43-4141,New Accounts Clerks,0.99,99.0,43-4141,direct
43-4151,Order Clerks,0.98,98.0,43-4151,direct
43-4161,Human Resources Assistants; Except Payroll and Timekeeping,0.9,90.0,43-4161,direct
43-4171,Receptionists and Information Clerks,0.96,96.0,43-4171,direct
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,0.61,61.0,43-4181,direct
43-5011,Cargo and Freight Agents,0.99,99.0,43-5011,direct
43-5021,Couriers and Messengers,0.94,94.0,43-5021,direct
43-5031,Police; Fire; and Ambulance Dispatchers,0.49,49.0,43-5031,direct
43-5032,Dispatchers; Except Police; Fire; and Ambulance,0.96,96.0,43-5032,direct
43-5041,Meter Readers; Utilities,0.85,85.0,43-5041,direct
43-5051,Postal Service Clerks,0.95,95.0,43-5051,direct
43-5052,Postal Service Mail Carriers,0.68,68.0,43-5052,direct
43-5053,Postal Service Mail Sorters; Processors; and Processing Machine Operators,0.79,79.0,43-5053,direct
43-5061,Production; Planning; and Expediting Clerks,0.88,88.0,43-5061,direct
43-5071,Shipping; Receiving; and Traffic Clerks,0.98,98.0,43-5071,direct
43-5081,Stock Clerks and Order Fillers,0.64,64.0,43-5081,direct
43-5111,Weighers; Measurers; Checkers; and Samplers; Recordkeeping,0.95,95.0,43-5111,direct
43-6011,Executive Secretaries and Executive Administrative Assistants,0.86,86.0,43-6011,direct
43-6012,Legal Secretaries,0.98,98.0,43-6012,direct
43-6013,Medical Secretaries,0.81,81.0,43-6013,direct
43-6014,Secretaries and Administrative Assistants; Except Legal; Medical; and Executive,0.96,96.0,43-6014,direct
43-9011,Computer Operators,0.78,78.0,43-9011,direct
43-9021,Data Entry Keyers,0.99,99.0,43-9021,direct
43-9022,Word Processors and Typists,0.81,81.0,43-9022,direct
43-9031,Desktop Publishers,0.16,16.0,43-9031,direct
43-9041,Insurance Claims and Policy Processing Clerks,0.98,98.0,43-9041,direct
43-9051,Mail Clerks and Mail Machine Operators; Except Postal Service,0.94,94.0,43-9051,direct
43-9061,Office Clerks; General,0.96,96.0,43-9061,direct
43-9071,Office Machine Operators; Except Computer,0.92,92.0,43-9071,direct
43-9081,Proofreaders and Copy Markers,0.84,84.0,43-9081,direct
43-9111,Statistical Assistants,0.66,66.0,43-9111,direct
45-1011,First-Line Supervisors of Farming; Fishing; and Forestry Workers,0.57,57.0,45-1011,direct
45-2011,Agricultural Inspectors,0.94,94.0,45-2011,direct
45-2021,Animal Breeders,0.95,95.0,45-2021,direct
45-2041,Graders and Sorters; Agricultural Products,0.41,41.0,45-2041,direct
45-2090,Miscellaneous Agricultural Workers,0.87,87.0,45-2090,direct
45-3011,Fishers and Related Fishing Workers,0.83,83.0,45-3011,direct
45-3021,Hunters and Trappers,0.77,77.0,45-3021,direct
45-4011,Forest and Conservation Workers,0.87,87.0,45-4011,direct
45-4021,Fallers,0.76,76.0,45-4021,direct
45-4022,Logging Equipment Operators,0.79,79.0,45-4022,direct
45-4023,Log Graders and Scalers,0.97,97.0,45-4023,direct
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,0.17,17.0,47-1011,direct
47-2011,Boilermakers,0.68,68.0,47-2011,direct
47-2021,Brickmasons and Blockmasons,0.82,82.0,47-2021,direct
47-2022,Stonemasons,0.89,89.0,47-2022,direct
47-2031,Carpenters,0.72,72.0,47-2031,direct
47-2041,Carpet Installers,0.87,87.0,47-2041,direct
47-2042,Floor Layers; Except Carpet; Wood; and Hard Tiles,0.79,79.0,47-2042,direct
47-2043,Floor Sanders and Finishers,0.87,87.0,47-2043,direct
47-2044,Tile and Marble Setters,0.75,75.0,47-2044,direct
47-2051,Cement Masons and Concrete Finishers,0.94,94.0,47-2051,direct
47-2053,Terrazzo Workers and Finishers,0.88,88.0,47-2053,direct
47-2061,Construction Laborers,0.88,88.0,47-2061,direct
47-2071,Paving; Surfacing; and Tamping Equipment Operators,0.83,83.0,47-2071,direct
47-2072,Pile-Driver Operators,0.82,82.0,47-2072,direct
47-2073,Operating Engineers and Other Construction Equipment Operators,0.95,95.0,47-2073,direct
47-2081,Drywall and Ceiling Tile Installers,0.79,79.0,47-2081,direct
47-2082,Tapers,0.62,62.0,47-2082,direct
47-2111,Electricians,0.15,15.0,47-2111,direct
47-2121,Glaziers,0.73,73.0,47-2121,direct
47-2131,Insulation Workers; Floor; Ceiling; and Wall,0.83,83.0,47-2131,direct
47-2132,Insulation Workers; Mechanical,0.64,64.0,47-2132,direct
47-2141,Painters; Construction and Maintenance,0.75,75.0,47-2141,direct
47-2142,Paperhangers,0.87,87.0,47-2142,direct
47-2151,Pipelayers,0.62,62.0,47-2151,direct
47-2152,Plumbers; Pipefitters; and Steamfitters,0.35,35.0,47-2152,direct
47-2161,Plasterers and Stucco Masons,0.84,84.0,47-2161,direct
47-2171,Reinforcing Iron and Rebar Workers,0.9,90.0,47-2171,direct
47-2181,Roofers,0.9,90.0,47-2181,direct
47-2211,Sheet Metal Workers,0.82,82.0,47-2211,direct
47-2221,Structural Iron and Steel Workers,0.83,83.0,47-2221,direct
47-3011,HelpersBrickmasons; Blockmasons; Stonemasons; and Tile and Marble Setters,0.83,83.0,47-3011,direct
47-3012,HelpersCarpenters,0.92,92.0,47-3012,direct
47-3013,HelpersElectricians,0.74,74.0,47-3013,direct
47-3014,HelpersPainters; Paperhangers; Plasterers; and Stucco Masons,0.94,94.0,47-3014,direct
47-3015,HelpersPipelayers; Plumbers; Pipefitters; and Steamfitters,0.57,57.0,47-3015,direct
47-3016,HelpersRoofers,0.72,72.0,47-3016,direct
47-4011,Construction and Building Inspectors,0.63,63.0,47-4011,direct
47-4021,Elevator Installers and Repairers,0.39,39.0,47-4021,direct
47-4031,Fence Erectors,0.92,92.0,47-4031,direct
47-4041,Hazardous Materials Removal Workers,0.53,53.0,47-4041,direct
47-4051,Highway Maintenance Workers,0.87,87.0,47-4051,direct
47-4061,Rail-Track Laying and Maintenance Equipment Operators,0.89,89.0,47-4061,direct
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,0.83,83.0,47-4071,direct
47-4091,Segmental Pavers,0.83,83.0,47-4091,direct
47-4799,Construction and Related Workers; All Other,0.71,71.0,47-4799,direct
47-5011,Derrick Operators; Oil and Gas,0.8,80.0,47-5011,direct
47-5012,Rotary Drill Operators; Oil and Gas,0.53,53.0,47-5012,direct
47-5013,Service Unit Operators; Oil; Gas; and Mining,0.93,93.0,47-5013,direct
47-5021,Earth Drillers; Except Oil and Gas,0.85,85.0,47-5021,direct
47-5031,Explosives Workers; Ordnance Handling Experts; and Blasters,0.48,48.0,47-5031,direct
47-5041,Continuous Mining Machine Operators,0.54,54.0,47-5041,direct
47-5042,Mine Cutting and Channeling Machine Operators,0.59,59.0,47-5042,direct
47-5051,Rock Splitters; Quarry,0.96,96.0,47-5051,direct
47-5061,Roof Bolters; Mining,0.49,49.0,47-5061,direct
47-5071,Roustabouts; Oil and Gas,0.68,68.0,47-5071,direct
47-5081,HelpersExtraction Workers,0.37,37.0,47-5081,direct
49-1011,First-Line Supervisors of Mechanics; Installers; and Repairers,0.003,0.3,49-1011,direct
49-2011,Computer; Automated Teller; and Office Machine Repairers,0.74,74.0,49-2011,direct
49-2021,Radio; Cellular; and Tower Equipment Installers and Repairs,0.93,93.0,49-2021,direct
49-2022,Telecommunications Equipment Installers and Repairers; Except Line Installers,0.36,36.0,49-2022,direct
49-2091,Avionics Technicians,0.7,70.0,49-2091,direct
49-2092,Electric Motor; Power Tool; and Related Repairers,0.76,76.0,49-2092,direct
49-2093,Electrical and Electronics Installers and Repairers; Transportation Equipment,0.91,91.0,49-2093,direct
49-2094,Electrical and Electronics Repairers; Commercial and Industrial Equipment,0.41,41.0,49-2094,direct
49-2095,Electrical and Electronics Repairers; Powerhouse; Substation; and Relay,0.38,38.0,49-2095,direct
49-2096,Electronic Equipment Installers and Repairers; Motor Vehicles,0.61,61.0,49-2096,direct
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,0.65,65.0,49-2097,direct
49-2098,Security and Fire Alarm Systems Installers,0.82,82.0,49-2098,direct
49-3011,Aircraft Mechanics and Service Technicians,0.71,71.0,49-3011,direct
49-3021,Automotive Body and Related Repairers,0.91,91.0,49-3021,direct
49-3022,Automotive Glass Installers and Repairers,0.55,55.0,49-3022,direct
49-3023,Automotive Service Technicians and Mechanics,0.59,59.0,49-3023,direct
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,0.73,73.0,49-3031,direct
49-3041,Farm Equipment Mechanics and Service Technicians,0.75,75.0,49-3041,direct
49-3042,Mobile Heavy Equipment Mechanics; Except Engines,0.4,40.0,49-3042,direct
49-3043,Rail Car Repairers,0.88,88.0,49-3043,direct
49-3051,Motorboat Mechanics and Service Technicians,0.66,66.0,49-3051,direct
49-3052,Motorcycle Mechanics,0.79,79.0,49-3052,direct
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,0.93,93.0,49-3053,direct
49-3091,Bicycle Repairers,0.94,94.0,49-3091,direct
49-3092,Recreational Vehicle Service Technicians,0.59,59.0,49-3092,direct
49-3093,Tire Repairers and Changers,0.7,70.0,49-3093,direct
49-9011,Mechanical Door Repairers,0.91,91.0,49-9011,direct
49-9012,Control and Valve Installers and Repairers; Except Mechanical Door,0.63,63.0,49-9012,direct
49-9021,Heating; Air Conditioning; and Refrigeration Mechanics and Installers,0.65,65.0,49-9021,direct
49-9031,Home Appliance Repairers,0.72,72.0,49-9031,direct
49-9041,Industrial Machinery Mechanics,0.67,67.0,49-9041,direct
49-9043,Maintenance Workers; Machinery,0.86,86.0,49-9043,direct
49-9044,Millwrights,0.59,59.0,49-9044,direct
49-9045,Refractory Materials Repairers; Except Brickmasons,0.82,82.0,49-9045,direct
49-9051,Electrical Power-Line Installers and Repairers,0.097,9.7,49-9051,direct
49-9052,Telecommunications Line Installers and Repairers,0.49,49.0,49-9052,direct
49-9061,Camera and Photographic Equipment Repairers,0.97,97.0,49-9061,direct
49-9062,Medical Equipment Repairers,0.27,27.0,49-9062,direct
49-9063,Musical Instrument Repairers and Tuners,0.91,91.0,49-9063,direct
49-9064,Watch Repairers,0.99,99.0,49-9064,direct
49-9071,Maintenance and Repair Workers; General,0.64,64.0,49-9071,direct
49-9091,Coin; Vending; and Amusement Machine Servicers and Repairers,0.94,94.0,49-9091,direct
49-9092,Commercial Divers,0.18,18.0,49-9092,direct
49-9093,Fabric Menders; Except Garment,0.96,96.0,49-9093,direct
49-9094,Locksmiths and Safe Repairers,0.77,77.0,49-9094,direct
49-9095,Manufactured Building and Mobile Home Installers,0.18,18.0,49-9095,direct
49-9096,Riggers,0.89,89.0,49-9096,direct
49-9097,Signal and Track Switch Repairers,0.9,90.0,49-9097,direct
49-9098,HelpersInstallation; Maintenance; and Repair Workers,0.79,79.0,49-9098,direct
49-9799,Installation; Maintenance; and Repair Workers; All Other,0.5,50.0,49-9799,direct
51-1011,First-Line Supervisors of Production and Operating Workers,0.016,1.6,51-1011,direct
51-2011,Aircraft Structure; Surfaces; Rigging; and Systems Assemblers,0.79,79.0,51-2011,direct
51-2021,Coil Winders; Tapers; and Finishers,0.73,73.0,51-2021,direct
51-2022,Electrical and Electronic Equipment Assemblers,0.95,95.0,51-2022,direct
51-2023,Electromechanical Equipment Assemblers,0.97,97.0,51-2023,direct
51-2031,Engine and Other Machine Assemblers,0.82,82.0,51-2031,direct
51-2041,Structural Metal Fabricators and Fitters,0.41,41.0,51-2041,direct
51-2091,Fiberglass Laminators and Fabricators,0.93,93.0,51-2091,direct
51-2092,Team Assemblers,0.97,97.0,51-2092,direct
51-2093,Timing Device Assemblers and Adjusters,0.98,98.0,51-2093,direct
51-3011,Bakers,0.89,89.0,51-3011,direct
51-3021,Butchers and Meat Cutters,0.93,93.0,51-3021,direct
51-3022,Meat; Poultry; and Fish Cutters and Trimmers,0.94,94.0,51-3022,direct
51-3023,Slaughterers and Meat Packers,0.6,60.0,51-3023,direct
51-3091,Food and Tobacco Roasting; Baking; and Drying Machine Operators and Tenders,0.91,91.0,51-3091,direct
51-3092,Food Batchmakers,0.7,70.0,51-3092,direct
51-3093,Food Cooking Machine Operators and Tenders,0.61,61.0,51-3093,direct
51-4011,Computer-Controlled Machine Tool Operators; Metal and Plastic,0.86,86.0,51-4011,direct
51-4012,Computer Numerically Controlled Machine Tool Programmers; Metal and Plastic,0.36,36.0,51-4012,direct
51-4021,Extruding and Drawing Machine Setters; Operators; and Tenders; Metal and Plastic,0.91,91.0,51-4021,direct
51-4022,Forging Machine Setters; Operators; and Tenders; Metal and Plastic,0.93,93.0,51-4022,direct
51-4023,Rolling Machine Setters; Operators; and Tenders; Metal and Plastic,0.83,83.0,51-4023,direct
51-4031,Cutting; Punching; and Press Machine Setters; Operators; and Tenders; Metal and Plastic,0.78,78.0,51-4031,direct
51-4032,Drilling and Boring Machine Tool Setters; Operators; and Tenders; Metal and Plastic,0.94,94.0,51-4032,direct
51-4033,Grinding; Lapping; Polishing; and Buffing Machine Tool Setters; Operators; and Tenders; Metal and Plastic,0.95,95.0,51-4033,direct
51-4034,Lathe and Turning Machine Tool Setters; Operators; and Tenders; Metal and Plastic,0.84,84.0,51-4034,direct
51-4035,Milling and Planing Machine Setters; Operators; and Tenders; Metal and Plastic,0.98,98.0,51-4035,direct
51-4041,Machinists,0.65,65.0,51-4041,direct
51-4051,Metal-Refining Furnace Operators and Tenders,0.88,88.0,51-4051,direct
51-4052,Pourers and Casters; Metal,0.87,87.0,51-4052,direct
51-4061,Model Makers; Metal and Plastic,0.93,93.0,51-4061,direct
51-4062,Patternmakers; Metal and Plastic,0.9,90.0,51-4062,direct
51-4071,Foundry Mold and Coremakers,0.67,67.0,51-4071,direct
51-4072,Molding; Coremaking; and Casting Machine Setters; Operators; and Tenders; Metal and Plastic,0.95,95.0,51-4072,direct
51-4081,Multiple Machine Tool Setters; Operators; and Tenders; Metal and Plastic,0.91,91.0,51-4081,direct
51-4111,Tool and Die Makers,0.84,84.0,51-4111,direct
51-4121,Welders; Cutters; Solderers; and Brazers,0.94,94.0,51-4121,direct
51-4122,Welding; Soldering; and Brazing Machine Setters; Operators; and Tenders,0.61,61.0,51-4122,direct
51-4191,Heat Treating Equipment Setters; Operators; and Tenders; Metal and Plastic,0.91,91.0,51-4191,direct
51-4192,Layout Workers; Metal and Plastic,0.84,84.0,51-4192,direct
51-4193,Plating and Coating Machine Setters; Operators; and Tenders; Metal and Plastic,0.92,92.0,51-4193,direct
51-4194,Tool Grinders; Filers; and Sharpeners,0.88,88.0,51-4194,direct
51-5111,Prepress Technicians and Workers,0.97,97.0,51-5111,direct
51-5112,Printing Press Operators,0.83,83.0,51-5112,direct
51-5113,Print Binding and Finishing Workers,0.95,95.0,51-5113,direct
51-6011,Laundry and Dry-Cleaning Workers,0.71,71.0,51-6011,direct
51-6021,Pressers; Textile; Garment; and Related Materials,0.81,81.0,51-6021,direct
51-6031,Sewing Machine Operators,0.89,89.0,51-6031,direct
51-6041,Shoe and Leather Workers and Repairers,0.52,52.0,51-6041,direct
51-6042,Shoe Machine Operators and Tenders,0.97,97.0,51-6042,direct
51-6051,Sewers; Hand,0.99,99.0,51-6051,direct
51-6052,Tailors; Dressmakers; and Custom Sewers,0.84,84.0,51-6052,direct
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,0.97,97.0,51-6061,direct
51-6062,Textile Cutting Machine Setters; Operators; and Tenders,0.95,95.0,51-6062,direct
51-6063,Textile Knitting and Weaving Machine Setters; Operators; and Tenders,0.73,73.0,51-6063,direct
51-6064,Textile Winding; Twisting; and Drawing Out Machine Setters; Operators; and Tenders,0.96,96.0,51-6064,direct
51-6091,Extruding and Forming Machine Setters; Operators; and Tenders; Synthetic and Glass Fibers,0.88,88.0,51-6091,direct
51-6092,Fabric and Apparel Patternmakers,0.0049,0.49,51-6092,direct
51-6093,Upholsterers,0.39,39.0,51-6093,direct
51-7011,Cabinetmakers and Bench Carpenters,0.92,92.0,51-7011,direct
51-7021,Furniture Finishers,0.87,87.0,51-7021,direct
51-7031,Model Makers; Wood,0.96,96.0,51-7031,direct
51-7032,Patternmakers; Wood,0.91,91.0,51-7032,direct
51-7041,Sawing Machine Setters; Operators; and Tenders; Wood,0.86,86.0,51-7041,direct
51-7042,Woodworking Machine Setters; Operators; and Tenders; Except Sawing,0.97,97.0,51-7042,direct
51-8011,Nuclear Power Reactor Operators,0.95,95.0,51-8011,direct
51-8012,Power Distributors and Dispatchers,0.64,64.0,51-8012,direct
51-8013,Power Plant Operators,0.85,85.0,51-8013,direct
51-8021,Stationary Engineers and Boiler Operators,0.89,89.0,51-8021,direct
51-8031,Water and Wastewater Treatment Plant and System Operators,0.61,61.0,51-8031,direct
51-8091,Chemical Plant and System Operators,0.85,85.0,51-8091,direct
51-8092,Gas Plant Operators,0.78,78.0,51-8092,direct
51-8093,Petroleum Pump System Operators; Refinery Operators; and Gaugers,0.71,71.0,51-8093,direct
51-8099,Plant and System Operators; All Other,0.86,86.0,51-8099,direct
51-9011,Chemical Equipment Operators and Tenders,0.76,76.0,51-9011,direct
51-9012,Separating; Filtering; Clarifying; Precipitating; and Still Machine Setters; Operators; and Tenders,0.88,88.0,51-9012,direct
51-9021,Crushing; Grinding; and Polishing Machine Setters; Operators; and Tenders,0.97,97.0,51-9021,direct
51-9022,Grinding and Polishing Workers; Hand,0.97,97.0,51-9022,direct
51-9023,Mixing and Blending Machine Setters; Operators; and Tenders,0.83,83.0,51-9023,direct
51-9031,Cutters and Trimmers; Hand,0.64,64.0,51-9031,direct
51-9032,Cutting and Slicing Machine Setters; Operators; and Tenders,0.86,86.0,51-9032,direct
51-9041,Extruding; Forming; Pressing; and Compacting Machine Setters; Operators; and Tenders,0.93,93.0,51-9041,direct
51-9051,Furnace; Kiln; Oven; Drier; and Kettle Operators and Tenders,0.37,37.0,51-9051,direct
51-9061,Inspectors; Testers; Sorters; Samplers; and Weighers,0.98,98.0,51-9061,direct
51-9071,Jewelers and Precious Stone and Metal Workers,0.95,95.0,51-9071,direct
51-9081,Dental Laboratory Technicians,0.97,97.0,51-9081,direct
51-9082,Medical Appliance Technicians,0.45,45.0,51-9082,direct
51-9083,Ophthalmic Laboratory Technicians,0.97,97.0,51-9083,direct
51-9111,Packaging and Filling Machine Operators and Tenders,0.98,98.0,51-9111,direct
51-9121,Coating; Painting; and Spraying Machine Setters; Operators; and Tenders,0.91,91.0,51-9121,direct
51-9122,Painters; Transportation Equipment,0.69,69.0,51-9122,direct
51-9123,Painting; Coating; and Decorating Workers,0.92,92.0,51-9123,direct
51-9141,Semiconductor Processors,0.88,88.0,51-9141,direct
51-9151,Photographic Process Workers and Processing Machine Operators,0.99,99.0,51-9151,direct
51-9191,Adhesive Bonding Machine Operators and Tenders,0.95,95.0,51-9191,direct
51-9192,Cleaning; Washing; and Metal Pickling Equipment Operators and Tenders,0.81,81.0,51-9192,direct
51-9193,Cooling and Freezing Equipment Operators and Tenders,0.93,93.0,51-9193,direct
51-9194,Etchers and Engravers,0.98,98.0,51-9194,direct
51-9195,Molders; Shapers; and Casters; Except Metal and Plastic,0.9,90.0,51-9195,direct
51-9196,Paper Goods Machine Setters; Operators; and Tenders,0.67,67.0,51-9196,direct
51-9197,Tire Builders,0.94,94.0,51-9197,direct
51-9198,HelpersProduction Workers,0.66,66.0,51-9198,direct
51-9399,Production Workers; All Other,0.92,92.0,51-9399,direct
53-1011,Aircraft Cargo Handling Supervisors,0.066,6.6,53-1011,direct
53-1021,First-Line Supervisors of Helpers; Laborers; and Material Movers; Hand,0.42,42.0,53-1021,direct
53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0.029,2.9,53-1031,direct
53-2011,Airline Pilots; Copilots; and Flight Engineers,0.18,18.0,53-2011,direct
53-2012,Commercial Pilots,0.55,55.0,53-2012,direct
53-2021,Air Traffic Controllers,0.11,11.0,53-2021,direct
53-2022,Airfield Operations Specialists,0.71,71.0,53-2022,direct
53-2031,Flight Attendants,0.35,35.0,53-2031,direct
53-3011,Ambulance Drivers and Attendants; Except Emergency Medical Technicians,0.25,25.0,53-3011,direct
53-3021,Bus Drivers; Transit and Intercity,0.67,67.0,53-3021,direct
53-3022,Bus Drivers; School or Special Client,0.89,89.0,53-3022,direct
53-3031,Driver/Sales Workers,0.98,98.0,53-3031,direct
53-3032,Heavy and Tractor-Trailer Truck Drivers,0.79,79.0,53-3032,direct
53-3033,Light Truck or Delivery Services Drivers,0.69,69.0,53-3033,direct
53-3041,Taxi Drivers and Chauffeurs,0.89,89.0,53-3041,direct
53-4011,Locomotive Engineers,0.96,96.0,53-4011,direct
53-4012,Locomotive Firers,0.93,93.0,53-4012,direct
53-4013,Rail Yard Engineers; Dinkey Operators; and Hostlers,0.91,91.0,53-4013,direct
53-4021,Railroad Brake; Signal; and Switch Operators,0.83,83.0,53-4021,direct
53-4031,Railroad Conductors and Yardmasters,0.83,83.0,53-4031,direct
53-4041,Subway and Streetcar Operators,0.86,86.0,53-4041,direct
53-5011,Sailors and Marine Oilers,0.83,83.0,53-5011,direct
53-5021,Captains; Mates; and Pilots of Water Vessels,0.27,27.0,53-5021,direct
53-5022,Motorboat Operators,0.62,62.0,53-5022,direct
53-5031,Ship Engineers,0.041,4.1,53-5031,direct
53-6011,Bridge and Lock Tenders,0.97,97.0,53-6011,direct
53-6021,Parking Lot Attendants,0.87,87.0,53-6021,direct
53-6031,Automotive and Watercraft Service Attendants,0.83,83.0,53-6031,direct
53-6041,Traffic Technicians,0.9,90.0,53-6041,direct
53-6051,Transportation Inspectors,0.9,90.0,53-6051,direct
53-6061,Transportation Attendants; Except Flight Attendants,0.75,75.0,53-6061,direct
53-7011,Conveyor Operators and Tenders,0.93,93.0,53-7011,direct
53-7021,Crane and Tower Operators,0.9,90.0,53-7021,direct
53-7031,Dredge Operators,0.92,92.0,53-7031,direct
53-7032,Excavating and Loading Machine and Dragline Operators,0.94,94.0,53-7032,direct
53-7033,Loading Machine Operators; Underground Mining,0.5,50.0,53-7033,direct
53-7041,Hoist and Winch Operators,0.65,65.0,53-7041,direct
53-7051,Industrial Truck and Tractor Operators,0.93,93.0,53-7051,direct
53-7061,Cleaners of Vehicles and Equipment,0.37,37.0,53-7061,direct
53-7062,Laborers and Freight; Stock; and Material Movers; Hand,0.85,85.0,53-7062,direct
53-7063,Machine Feeders and Offbearers,0.93,93.0,53-7063,direct
53-7064,Packers and Packagers; Hand,0.38,38.0,53-7064,direct
53-7071,Gas Compressor and Gas Pumping Station Operators,0.91,91.0,53-7071,direct
53-7072,Pump Operators; Except Wellhead Pumpers,0.9,90.0,53-7072,direct
53-7073,Wellhead Pumpers,0.84,84.0,53-7073,direct
53-7081,Refuse and Recyclable Material Collectors,0.93,93.0,53-7081,direct
53-7111,Mine Shuttle Car Operators,0.37,37.0,53-7111,direct
53-7121,Tank Car; Truck; and Ship Loaders,0.72,72.0,53-7121,direct
