pilot_bucket,expected,task_id,onet_soc_code,occupation_title,task_text,task_type,domain_source,task_date,survey_date
A_expected_high,all four criteria near 2; composite high,3399,13-2031.00,Budget Analysts,Summarize budgets and submit recommendations for the approval or disapproval of funds requests.,Core,Incumbent,08/2024,08/2024
A_expected_high,all four criteria near 2; composite high,8966,15-2041.00,Statisticians,"Develop and test experimental designs, sampling techniques, and analytical methods.",Core,Occupational Expert,08/2024,08/2024
A_expected_high,all four criteria near 2; composite high,21534,13-2011.00,Accountants and Auditors,"Review data about material assets, net worth, liabilities, capital stock, surplus, income, or expenditures.",Unrated,Analyst,11/2020,
A_expected_high,all four criteria near 2; composite high,16259,15-2041.01,Biostatisticians,Design or maintain databases of biological data.,Core,Occupational Expert,08/2021,08/2021
A_expected_high,all four criteria near 2; composite high,4058,27-4032.00,Film and Video Editors,Review assembled films or edited videotapes on screens or monitors to determine if corrections are necessary.,Core,Incumbent,08/2020,08/2020
A_expected_high,all four criteria near 2; composite high,21521,13-2011.00,Accountants and Auditors,"Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.",Core,Analyst - Transition,11/2020,
A_expected_high,all four criteria near 2; composite high,14707,15-1254.00,Web Developers,Write supporting code for Web applications or Web sites.,Core,Occupational Expert,07/2017,07/2017
A_expected_high,all four criteria near 2; composite high,14714,15-1254.00,Web Developers,Develop or implement procedures for ongoing Web site revision.,Core,Occupational Expert,07/2017,07/2017
A_expected_high,all four criteria near 2; composite high,4052,27-4032.00,Film and Video Editors,"Edit films and videotapes to insert music, dialogue, and sound effects, to arrange films into sequences, and to correct errors, using editing equipment.",Core,Incumbent,08/2020,08/2020
A_expected_high,all four criteria near 2; composite high,5434,13-1161.00,Market Research Analysts and Marketing Specialists,"Prepare reports of findings, illustrating data graphically and translating complex findings into written text.",Core,Occupational Expert,08/2018,08/2018
A_expected_high,all four criteria near 2; composite high,2493,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Code documents according to company procedures.,Core,Incumbent,07/2017,07/2017
A_expected_high,all four criteria near 2; composite high,1259,13-2041.00,Credit Analysts,"Analyze financial data, such as income growth, quality of management, and market share to determine expected profitability of loans.",Core,Occupational Expert,08/2020,08/2020
A_expected_high,all four criteria near 2; composite high,1313,15-1242.00,Database Administrators,"Write and code logical and physical database descriptions and specify identifiers of database to management system, or direct others in coding descriptions.",Core,Incumbent,08/2023,08/2023
A_expected_high,all four criteria near 2; composite high,21667,15-1252.00,Software Developers,"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design.",Core,Incumbent,08/2025,08/2025
A_expected_high,all four criteria near 2; composite high,16262,15-2041.01,Biostatisticians,Review clinical or other medical research protocols and recommend appropriate statistical analyses.,Core,Occupational Expert,08/2021,08/2021
A_expected_high,all four criteria near 2; composite high,2501,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks","Calculate and prepare checks for utilities, taxes, and other payments.",Supplemental,Incumbent,07/2017,07/2017
A_expected_high,all four criteria near 2; composite high,21660,15-1243.00,Database Architects,"Write and code logical and physical database descriptions, and specify identifiers of database to management system or direct others in coding descriptions.",Core,Occupational Expert,08/2023,08/2023
A_expected_high,all four criteria near 2; composite high,21656,15-1243.00,Database Architects,Review project requests describing database user needs to estimate time and cost required to accomplish project.,Core,Occupational Expert,08/2023,08/2023
A_expected_high,all four criteria near 2; composite high,1269,15-1251.00,Computer Programmers,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",Core,Incumbent,08/2018,08/2018
A_expected_high,all four criteria near 2; composite high,21101,15-2041.00,Statisticians,Prepare and structure data warehouses for storing data.,Supplemental,Occupational Expert,08/2024,08/2024
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,13597,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","Cut materials to specified sizes for installation, using power saws or tile cutters.",Core,Incumbent,07/2013,07/2013
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,11460,47-2061.00,Construction Laborers,"Position, join, align, or seal structural components, such as concrete wall sections or pipes.",Supplemental,Incumbent,08/2020,08/2020
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,23447,47-2031.00,Carpenters,"Install rough door and window frames, subflooring, fixtures, or temporary supports in structures undergoing construction or repair.",Core,Incumbent,08/2022,08/2022
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,20144,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","Perform rough-ins, repair and replace fixtures and water heaters, and locate, repair, or remove leaking or broken pipes.",Core,Incumbent,07/2011,07/2011
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,2020,31-2021.00,Physical Therapist Assistants,"Administer traction to relieve neck or back pain, using intermittent or static traction equipment.",Supplemental,Incumbent,08/2020,08/2020
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,11469,47-2061.00,Construction Laborers,"Install sewer, water, or storm drain pipes, using pipe-laying machinery or laser guidance equipment.",Supplemental,Incumbent,08/2020,08/2020
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,11521,47-2141.00,"Painters, Construction and Maintenance","Remove old finishes by stripping, sanding, wire brushing, burning, or using water or abrasive blasting.",Core,Incumbent,08/2025,08/2025
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,23481,47-2152.00,"Plumbers, Pipefitters, and Steamfitters","Cut openings in structures to accommodate pipes or pipe fittings, using hand or power tools.",Core,Incumbent,08/2022,08/2022
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,23467,47-2152.00,"Plumbers, Pipefitters, and Steamfitters","Install pipe assemblies, fittings, valves, appliances such as dishwashers or water heaters, or fixtures such as sinks or toilets, using hand or power tools.",Core,Incumbent,08/2022,08/2022
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,5060,35-2011.00,"Cooks, Fast Food",Measure ingredients required for specific food items.,Core,Incumbent,08/2019,08/2019
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,2891,47-2111.00,Electricians,"Perform physically demanding tasks, such as digging trenches to lay conduit or moving or lifting heavy objects.",Core,Incumbent,08/2022,08/2022
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,12213,51-7011.00,Cabinetmakers and Bench Carpenters,"Measure and mark dimensions of parts on paper or lumber stock prior to cutting, following blueprints, to ensure a tight fit and quality product.",Core,Incumbent,07/2015,07/2015
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,21194,31-2021.00,Physical Therapist Assistants,Perform therapeutic wound care.,Supplemental,Incumbent,08/2020,08/2020
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,19325,31-1131.00,Nursing Assistants,Feed patients or assist patients to eat or drink.,Core,Incumbent,08/2020,08/2020
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,23599,51-4121.00,"Welders, Cutters, Solderers, and Brazers","Position and secure workpieces, using hoists, cranes, wire, and banding machines or hand tools.",Core,Incumbent,08/2022,08/2022
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,19346,31-1131.00,Nursing Assistants,"Lift or assist others to lift patients to move them on or off beds, examination tables, surgical tables, or stretchers.",Core,Incumbent,08/2020,08/2020
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,23450,47-2031.00,Carpenters,"Apply shock-absorbing, sound-deadening, or decorative paneling to ceilings or walls.",Supplemental,Incumbent,08/2022,08/2022
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,22962,33-2011.00,Firefighters,Dress with equipment such as fire-resistant clothing and breathing apparatus.,Core,Incumbent,08/2022,08/2022
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,11513,47-2141.00,"Painters, Construction and Maintenance","Apply primers or sealers to prepare new surfaces, such as bare wood or metal, for finish coats.",Core,Incumbent,08/2025,08/2025
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,18695,31-1121.00,Home Health Aides,"Administer prescribed oral medications, under the written direction of physician or as directed by home care nurse or aide, and ensure patients take their medicine.",Supplemental,Incumbent,07/2014,07/2014
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,13913,49-9097.00,Signal and Track Switch Repairers,"Inspect, maintain, and replace batteries as needed.",Core,Incumbent,08/2021,08/2021
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,22638,27-3023.00,"News Analysts, Reporters, and Journalists","Review written, audio, or video copy, and correct errors in content, grammar, or punctuation, following prescribed editorial style and formatting guidelines.",Core,Analyst - Transition,11/2020,
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,20980,19-3099.01,Transportation Planners,Evaluate transportation-related consequences of federal or state legislative proposals.,Core,Occupational Expert,08/2023,08/2023
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,20914,47-5041.00,Continuous Mining Machine Operators,Check the stability of roof and rib support systems before mining face areas.,Core,Incumbent,07/2016,07/2016
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,11313,43-5041.00,"Meter Readers, Utilities","Inspect meters for unauthorized connections, defects, and damage, such as broken seals.",Core,Incumbent,07/2016,07/2016
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,21159,53-7073.00,Wellhead Pumpers,Monitor pumps and flow lines for gas and fluid leaks.,Core,Incumbent,08/2019,08/2019
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,8937,13-1081.00,Logisticians,"Review logistics performance with customers against targets, benchmarks, and service agreements.",Core,Occupational Expert,07/2016,07/2016
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,22816,29-2034.00,Radiologic Technologists and Technicians,"Monitor patients' conditions and reactions, reporting abnormal signs to physician.",Core,Incumbent,08/2022,08/2022
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,20642,47-2211.00,Sheet Metal Workers,"Inspect individual parts, assemblies, or installations, using measuring instruments, such as calipers, scales, or micrometers.",Supplemental,Incumbent,08/2023,08/2023
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,7991,39-2011.00,Animal Trainers,"Evaluate animals to determine their temperaments, abilities, or aptitude for training.",Core,Incumbent,07/2014,07/2014
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,12416,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders","Examine, measure, and weigh materials or products to verify conformance to specifications, using measuring devices, such as rulers, micrometers, or scales.",Core,Incumbent,07/2016,07/2016
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,21306,11-3013.01,Security Managers,Review financial reports to ensure efficiency and quality of security operations.,Core,Occupational Expert,08/2025,08/2025
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,21438,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Examine titles to property to determine validity and act as company agent in transactions with property owners.,Supplemental,Incumbent,08/2022,08/2022
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,21633,13-2054.00,Financial Risk Specialists,Review or draft risk disclosures for offer documents.,Unrated,Analyst,11/2020,
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,20069,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Review papers or serve on editorial boards for scientific journals, and review grant proposals for federal agencies.",Supplemental,Incumbent,08/2019,08/2019
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,20856,17-2199.03,"Energy Engineers, Except Wind and Solar","Monitor energy related design or construction issues, such as energy engineering, energy management, or sustainable design.",Core,Occupational Expert,07/2016,07/2016
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,2452,41-9022.00,Real Estate Sales Agents,"Review plans for new construction with clients, enumerating and recommending available options and features.",Core,Occupational Expert,08/2019,08/2019
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,15867,13-1081.01,Logistics Engineers,"Review contractual commitments, customer specifications, or related information to determine logistics or support requirements.",Core,Occupational Expert,08/2025,08/2025
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,23704,53-1044.00,First-Line Supervisors of Passenger Attendants,"Inspect materials, stock, vehicles, equipment, or facilities to ensure that they are safe, free of defects, and consistent with specifications.",Unrated,Analyst,11/2020,
C_ambiguous,disambiguation rule should resolve to digital implementation where plausible,3412,13-2072.00,Loan Officers,Review and update credit and loan files.,Core,Incumbent,08/2020,08/2020
D_mixed,no fixed expectation; checks for systematic misinterpretation,22090,17-3028.00,Calibration Technologists and Technicians,"Calibrate devices by comparing measurements of pressure, temperature, humidity, or other environmental conditions to known standards.",Unrated,Analyst,11/2020,
D_mixed,no fixed expectation; checks for systematic misinterpretation,22884,29-2072.00,Medical Records Specialists,Process and prepare business or government forms.,Unrated,Analyst,11/2020,
D_mixed,no fixed expectation; checks for systematic misinterpretation,22358,25-2055.00,"Special Education Teachers, Kindergarten",Visit schools to tutor students with sensory impairments or to consult with teachers regarding students' special needs.,Unrated,Analyst,11/2020,
D_mixed,no fixed expectation; checks for systematic misinterpretation,22035,17-3026.00,Industrial Engineering Technologists and Technicians,Monitor and adjust production processes or equipment for quality and productivity.,Unrated,Analyst,11/2020,07/2014
D_mixed,no fixed expectation; checks for systematic misinterpretation,23294,43-4031.00,"Court, Municipal, and License Clerks","Issue various permits and licenses, such as marriage, fishing, hunting, and dog licenses, and collect appropriate fees.",Unrated,Analyst,11/2020,08/2022
D_mixed,no fixed expectation; checks for systematic misinterpretation,1949,29-2052.00,Pharmacy Technicians,"Transfer medication from vials to the appropriate number of sterile, disposable syringes, using aseptic techniques.",Supplemental,Incumbent,08/2021,08/2021
D_mixed,no fixed expectation; checks for systematic misinterpretation,8203,43-5011.00,Cargo and Freight Agents,Arrange insurance coverage for goods.,Supplemental,Incumbent,08/2021,08/2021
D_mixed,no fixed expectation; checks for systematic misinterpretation,3813,25-4013.00,Museum Technicians and Conservators,"Specialize in particular materials or types of object, such as documents and books, paintings, decorative arts, textiles, metals, or architectural materials.",Supplemental,Incumbent,08/2018,08/2018
D_mixed,no fixed expectation; checks for systematic misinterpretation,6237,25-1112.00,"Law Teachers, Postsecondary",Write grant proposals to procure external research funding.,Supplemental,Incumbent,08/2019,08/2019
D_mixed,no fixed expectation; checks for systematic misinterpretation,2609,43-4071.00,File Clerks,Retrieve documents stored in microfilm or microfiche and place them in viewers for reading.,Supplemental,Incumbent,08/2025,08/2025
D_mixed,no fixed expectation; checks for systematic misinterpretation,11905,51-2021.00,"Coil Winders, Tapers, and Finishers",Review work orders and specifications to determine materials needed and types of parts to be processed.,Core,Incumbent,07/2017,07/2017
D_mixed,no fixed expectation; checks for systematic misinterpretation,12728,53-2021.00,Air Traffic Controllers,Issue landing and take-off authorizations or instructions.,Core,Incumbent,07/2014,07/2014
D_mixed,no fixed expectation; checks for systematic misinterpretation,4802,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators","Operate tamping machines or manually roll surfaces to compact earth fills, foundation forms, and finished road materials, according to grade specifications.",Core,Incumbent,08/2020,08/2020
D_mixed,no fixed expectation; checks for systematic misinterpretation,23240,43-3021.00,Billing and Posting Clerks,"Prepare itemized statements, bills, or invoices and record amounts due for items purchased or services rendered.",Core,Incumbent,08/2022,08/2022
D_mixed,no fixed expectation; checks for systematic misinterpretation,12696,51-9198.00,Helpers--Production Workers,"Lift raw materials, finished products, and packed items, manually or using hoists.",Core,Incumbent,07/2015,07/2015
